channel_id,video_id,title
UC7OeNNuAq23-6L6bDOSm8xQ,-wv2fuNXXrY,Kelly Rowland ft. David Guetta - Commander (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,0W9dVm9RfTs,DINO - LIKE IT (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,3ad8PjL67eA,Madonna & Sabrina Carpenter - Bring Your Love (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,3vI3qmcnwxg,Stray Kids - After You (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,6944vUTPMPw,ADÉLA - Ain't In LA (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,Br7sGVmQ8d8,Rania - Dr. Feel Good (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,CLy7D-13K2A,ENHYPEN - Two Fools (Tradução/Legendado)
UC7OeNNuAq23-6L6bDOSm8xQ,D4rk5ExCKrc,ATEEZ - WONDERLAND (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,EaOFBYhvzqI,Stray Kids - Back Then (SONG by VER.) [Tradução] (Clipe Oficial)
UC7OeNNuAq23-6L6bDOSm8xQ,G7Ei9hjypYM,Felix - Slow It Down (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,HLVtTCvUinQ,CORTIS - TNT (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,JI51bqMVo5w,BTS - NORMAL (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,LS7BuSbrmxc,TEN - OUTWEST (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,MYS1_FUyyw4,YEONJUN - Ice Cream [Tradução] (Clipe Oficial)
UC7OeNNuAq23-6L6bDOSm8xQ,MjCMlFMSlN0,ENHYPEN - Bloody Paradise (Tradução) [Clipe Oficial]
